Updating at:2019-04-28 15:38:14.182155
New Reviews found:{}
Updating at:2019-04-28 15:40:13.371269
New Reviews found:{}
    'File {path} does not exist'.format(path=path_or_buf))
FileNotFoundError: File yelp.hdf does not exist

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/home/hduser1/Restuarant_Review/UpdateYelp.py", line 4, in <module>
    df = dbms.initialize_yelp()
  File "/home/hduser1/Restuarant_Review/dbms.py", line 35, in initialize_yelp
    big_list = read_data('YelpData.txt')
  File "/home/hduser1/Restuarant_Review/dbms.py", line 21, in read_data
    with open(path,'rb') as f:
FileNotFoundError: [Errno 2] No such file or directory: 'YelpData.txt'
Traceback (most recent call last):
  File "/home/hduser1/Restuarant_Review/dbms.py", line 33, in initialize_yelp
    return pd.read_hdf('yelp.hdf','yelp_df')
  File "/usr/local/lib/python3.6/dist-packages/pandas/io/pytables.py", line 366, in read_hdf
    'File {path} does not exist'.format(path=path_or_buf))
FileNotFoundError: File yelp.hdf does not exist

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/home/hduser1/Restuarant_Review/UpdateYelp.py", line 4, in <module>
    df = dbms.initialize_yelp()
  File "/home/hduser1/Restuarant_Review/dbms.py", line 35, in initialize_yelp
    big_list = read_data('YelpData.txt')
  File "/home/hduser1/Restuarant_Review/dbms.py", line 21, in read_data
    with open(path,'rb') as f:
FileNotFoundError: [Errno 2] No such file or directory: 'YelpData.txt'
